,comentarios,estrelas
228,É compacta e muito econômica! Pode comprar sem medo de se arrepender,5
229,Ótima impressora. E quando o assunto é a entrega da Magazine. Muito bom.,5
230,"Ótima impressora 
Designer moderno
Qualidade de top
Super recomendo",5
231,ate hoje ainda não consegui instalar o wifi  nossa que arrependimento vou fazer a ultima tentativa se não conseguir vou ter que levar para autorizada,1
232,"Funciona muito bem, wifi tudo certinho, não faz muito barulho, a qualidade é muito boa e é bem leve também o aparelho...
Porém precisa baixar app da epson pra funcionar em Iphone, e o aplicativo é uma porcari@! Não da pra selecionar as folhas que eu quero imprimir, etc... Só este defeito mesmo, se for imprimir por Iphone e for te atrapalhar isto sugiro um modelo melhor ou outra marca...
Fora isto é ótima!",4
233,"Produto ótimo, entrega super rápida e atendimento maravilhoso.",5
234,"A impressora é uma porcaria, imprime male mal umas 20 folhas, mesmo selecionando só a opção preta gasta de todos os cartuchos. Ai vc só utiliza cartuchos originais como o recomendado e toda vez que troca o cartucho é um parto pq tem que fazer alinhamento, ajuste de cabeçote, so nisso vc ja gasta um bom tanto de tinta que so de imprimir essas paginas de teste ja baixa o nível. Pior compra que fiz. Não recomendo. Comprei pq dizia que tinha ótimo custo beneficio, não tem custo beneficio na minha opinião, acabou se tornando mais cara do que de outra marca que eu tinha por anos.",1
235,"Ótimo produto, funciona muito bem, atendeu as expectativas, além de ter sido entregue antes do prazo em ótimo estado!",5
236,O software do scaner e bem rudimentar . Piorou da versão anterior para esta mas de maneira geral atende para uso doméstico e a um custo bem baixo . Bem simples de operar e instalar . A troca de cartuchos também é bem simples,3
237,"Bom no pouco que usei estou muito satisfeito com o produto, vamos ver agora voltando as aulas, pois foi pra essa finalidade que foi comprado, espero que seja maravilhosa.",3
238,"Adorei a impressora, fácil de instalar, prática no manuseio...e bem compacta, cabe em qualquer lugar, meu uso é doméstico...portanto atende as minhas expectativas.",5
239,Multifuncional de Ótima qualidade e  Magazine Luíza esta de parabéns chegou bem rápido.,5
240,"Impressora com preço acessível, suprimentos de preço justo e imprime com perfeição!",5
241,"apesar de ter -1mes de uso, pra mim esta otima. nao é silenciosa. mas ainda assim é boa. por ser cartucho indiv ta perfeita.",5
242,"impressora  com  qualidade de impressão  excelente
imprimi papel  230 gramas compacta fácil de  transportar
sem  contar  que e  bem  rapida",5
243,"Pouco tempo de uso, mas até agora cumpre com o prometido, vale o investimento!",5
244,"Impressora com qualidade, porém poderia ser menos barulhenta na impressão",4
245,"O produto é muito bom no geral. Bom custo-benefício, impressão de excelente qualidade, custos de reposição de tinta bem mais em conta que os concorrentes. Quem vem de impressoras HP leva um tempo para se acostumar com as peculiaridades das impressoras Epson, mas vai reconhecer que ela apresenta muito mais funcionalidades que a concorrência.",4
246,"A Magazine Luiza  está  de parabéns,minha impressora Epson 241 chegou na loja no prazo com todos os acessórios,cabo usb,cd,etc.Não testei ainda mas ela e do jeito que está no anúncio.Em breve farei novas compras.So não  dou 5 estrelas porquê ainda não  testei por falta de tempo mesmo.",4
247,Não gostei do produto pois a tinta acabou rápido demais e não funciona sem a tinta preta. Não recomendo.,1
248,rápido na entrega e fiquei muito satisfeita com o produto. Ótima qualidade,5
249,ótimo produto parabens magazine luiza fui muito  bem atendido e a entrega foi bem rapida recomendo a todos...,5
250,Muito bom! Retirei na loja sem muitos problemas! Há e os cartuchos são enconta!,3
251,"Eu não gostei, é opinião pessoal!o custo benefício sai muito caro pra carregar a máquina. Os cartuchos não são reutilizáveis!",1
252,"Preço acessível e de boa qualidade, além de uma entrega super rápida.",4
253,"Gostei muito da impressora, custo-benefício excelente, não ocupa muito espaço e ao contrário do que falam é muito silenciosa no momento da impressão.",5
254,"Produto muito bom, impressora com ótimo custo benefício! Ótimo atendimento!!",5
255,"A impressão é ótima! MAS o cd de instalação não funcionou e achei complicado o negócio de impressão por Wi-Fi. Ele reconhece é só imprime se a internet do roteador que foi configurado estiver funcionando... caso contrário deve desinstalar e instalar novamente configurando outro roteador! Não entendi nada. E a impressora não vem com o cabo USB. Mas Claro, a impressão é perfeita!! Só é preciso um pouco de paciência p ler e entender o que é preciso ser feito.",3
256,"Vale muito a pena, a impressão é muito boa, tamanho ideal, para quem precisa para uso doméstico, faz um bom negócio comprá-la.",5
257,Muito bom ..ótimo adorei o produto ..está sendo muito útil na minha casa .,4
258,"Durante a instalação, todos os métodos possíveis para acessar a impressora pelo wifi falharam. Só funciona por cabo. Tentei 2 roteadores diferentes, dois computadores diferentes e ambos os métodos de reconhecimento (automático e manual). Nada funcionou. Podia ter comprado um modelo mais barato, mas escolhi esse por ter wifi. Joguei dinheiro fora.",2
259,"Ótima impressora, fácil instalação, a entrega foi super rápida, parabéns ao Magazine Luiza.",5
260,"É um ótimo produto, muito bonita é o que eu esperava, ainda ta em teste mais to satisfeito, a entrega foi super rápida!",5
261,"Super indico , impressora muito boa e fácil de usar",5
262,"Produto com um bom custo benefício, design compacto, valor de reposição de cartucho de tinta com preço moderados...",5
263,"A qualidade de impressão é muito boa, a velocidade não é das maiores, porem pra uso doméstico, no meu caso que imprimo 10, 15 paginas por semana isso não nenhum problema. o design dela tbm é lindo, apenas não testei o wi-fi dela ainda, mas por falta de tempo mesmo, recomendo pelo ótimo custo-benefício!!",5
264,Amei. Muito fácil de manuseio e impressão perfeita,5
265,Eu endico mt boa mesmo vc q compra não vai se arrepender pq ela é mt rapida e fazio de manusear,5
266,muito boa imprime muito bem. o problema é que os cartuchos originais sao bem caros mais rende  bastante.,5
267,a impressora é. boa mais os cartuchos não. são recarregáveis então. o custo fica alto.,2
268,"PRODUTO DE BOA QUALIDADE, CUMPRE O QUE PROMETE, ÓTIO CUSTO/BENEFÍCIO, CARTUCHOS BARATOS EM RELAÇÃO A OUTRAS MARCAS, FÁCIL INSTALAÇÃO E CONFIGURAÇÃO. ESTOU SATISFEITO COM O PRODUTO.",5
269,"impressora muito boa, atendeu minha expectativa. Entrega dentro do prazo.",5
270,Entregue dentro do prazo e atendendo minhas espectativas. Mas ainda em fase de teste,5
271,Veio.        conforme.      o anúncio.      Eu        recomendo.,5
272,"Impressora apresenta um detalhe que é falta de mais informação para acessar o wife, ou seja, até o momento instalei tudo e ela funciona direitinho direto via cabo, porém adquiri justo por ela ter essa possibilidade de acessar a rede Wifi,infelizmente essa configuração tá complicadíssima e até o momento em duas semana que comprei,  ainda não conseguir configurar, tá bem difícil ter que mudar ela de posição todas as vezes que preciso imprimir por conta do cabo.",3
273,Super rápida e atende as expectativas para uso doméstico. Estou gostando.,5
274,"Produto ótimo, de fácil manuseio amei só achei que era bisnaga de tinta me enganei mais não tem problema",4
275,"Comprei e não me arrependi.
Ótima qualidade. 
Recomendo",5
276,"Produto excelente e ótimo atendimento também. Optei pela retirada na loja e foi tudo muito rápido, chegou na loja em 2 dias após o pagamento. Parabéns Magazine Luiza.",5
277,Bom aparelho. Entrega o que promete. Sem detalhes ou reticências...............,4
278,"Apesar da velocidade ser um pouco lenta, uma impressora boa com uma otima resolução, e o melhor de tudo é wifi",4
279,"estou usando ainda , então não tenho uma noção dos cartuchos , mais sei que são baratos , e a impressora e muito boa , scanner , tudo !!!",5
280,Estou com problema em relação ao Wi-Fi n está pegando. Já fiz de tudo e n funciona. As demais funções até o momento está fazendo seu papel na impressão.,2
281,"Amei é fácil de mexer e baixo custo benefício!!!
Entrega antes do prazo.",5
282,"Ótima impressora, atende todos os requisitos!! Adorei",5
283,"Ótimo embora deixa a desejar em relação aos cartuchos que não são duráveis,fazendo com que seja substituído rapidamente pois não imprime logo que esvazio um. Mais é um ótimo produto.",4
284,Produto de ótima qualidade superou a expectativa. bom produto podem comprar,5
285,"Atendeu todas minhas espectativas, exatamente o que eu esperava",5
286,Excelente impressora com bom custo x benefício. Recomendo,5
287,A multifuncional eh ótima porém a tinta não rende muitas impressões e não eh reutilizável os cartuchos espero que melhorem.,4
288,Fácil instalação e uso. Prático. Cartuchos mais baratos mesmo.,5
289,"muito boa, a qualidade é otima e o custo beneficio melhor ainda",5
290,Atendeu as minhas expectativas. Possui um custo benefício e impressão de qualidade.,5
291,Um produto impecável e a durabilidade da tinha e m boa e faz ótimo digitalização,5
292,"Ótimo desempenho, uma enorme viabilidade, e um grande equilíbrio em termos de custo x benefício.",5
293,"Gostei muito do produto,atendeu as minhas expectativas.",3
294,"Comprei a impressora no dia 30/03 e busquei na loja dia 05/04, muito rápido, a caixa estava lacrada e veio com todos os componentes bem embalados. Instalei os cartuchos e configurei rápido, através do site da Epson,pois o leitor de cd/dvd do meu notebook não está muito bom. Só deu um pouco de trabalho pra configurar a impressão por wi-fi , foi demorado,pq testei com cabo usb primeiro, mas após configurar imprimi pelo not, pelo smartphone e pelo tablet e foi perfeito. Consegui imprimir perfeitamente em A4, adesivo acrílico e papel 40k. Atendeu minhas expectativas, a Epson está de parabéns!",5
295,Uma empresora que a pessoa sempre tem que está comprando os cartuchos.,2
296,"A impressão e muito boa, mais os cartuchos não dura nada além de ser muito caro.",3
297,"Gostei dela, embora pareça um tanto frágil. Mas só o tempo dirá. Recomendo.",4
298,"A qualidade do produto é boa, como de hábito.
Recebi a impressora e foi fácil fazer a instalação. Fiz a impressão de teste conforme recomendado no manual e até aí, estava satisfeito. Quando fui fazer a minha primeira impressão ""de verdade"" (o voucher de uma passagem para minha esposa), os cartuchos já estavam sem tinta. Deveria durar ao menos algumas impressões, ou incluir no pacote inicial um jogo de cartuchos de verdade, porque os que vieram eram fake (só para configuração, segundo o manual). Assim o custo-benefício foi por água a baixo (fora o aborrecimento de não poder usar o que comprei). Decepcionante.",1
299,"Ótimo custo benefício. Produto com estrutura delicada, mas nada que atrapalhe o desempenho.",5
300,"Impressão rápida,fácil de mecher,e bonita!Gostei bastante.",5
301,"A melhor marca de impressoras. Já usei utras marcas, mas Epson é a melhor.",5
302,fiz uma excelente compra cumpriu as minhas expectativas entrega amtes do prazo,5
303,"Impressora compacta atende perfeitamente, demora um pouco para responder quando mando impressão, mas no geral é muito boa.",5
304,"Muito bom equipamento, rápida, ótima impressão,sistema Wifi muito bom,fiz um excelente negocio, indico a todos que desejam fazer uma compra garantida!",5
305,"Produto de qualidade, para quem necessita de um produto para serviços caseiros, ótimo custo/benefício, de fácil manuseio e instalação fácil.",5
306,Produto excelente. Tudo o que é Epson tem qualidade.,5
307,"excelente produto, e o sistema de compra e retira na loja além de baratear o produto, facilita na entrega já que os correios estão apresentando péssimo serviço",5
308,Tive alguns problemas na hora da instalação mas agora já está tudo sobre controle. Ela é uma impressora muito boa.,4
309,"Ainda não usei a ponto de ter uma opinião concisa sobre, entretanto sobre a instalação, achei um pouco complicado fazer a conexão wi-fi apenas pelo botão wps, alguns roteadores os botões são virtais como o meu, deu um pouco de trabalho, no mais por enquanto recomendo.",4
310,Produto de excelente qualidade. Impressão satisfatória.,5
311,"Fáscio de usar 
Só podia ter cartuchos recarregáveis",5
312,"Excelente produto,entrega super rápida.Muito fácil instalação.",4
313,"com pouco uso e pouco tempo de uso e parou de imprimir, sigo os passos da atualização e nada acontece. Não compre epson",1
314,Impressora com boa qualidade de impressão e economia de tinta.,5
315,"Achei o material um pouco frágil, como tudo que é fabricado atualmente, mas estou gostando bastante, está funcionando direitinho.",4
316,"Sem dificuldades de instalação, prática e de fácil utilização. Como não tenho muita demanda de impressão, atende as necessidades  e expectativas.",5
317,Muito bom para se ter em casa quando não é necessário imprimir grandes volumes,5
318,"Apesar do cartucho ser muito ""barato"" acaba saindo bem caro pela pouca quantidade de tinta que há nele. Principalmente quando tenta imprimir pelo celular, a impressora se recusa a imprimir quando algum cartucho de tinta está baixo, mesmo que a cor não seja utilizada na impressão.",1
319,"Compacta, compatível com o meu perfil pois não imprimo grandes quantidades. Qualidade de impressão excelente. De todas as marcas que tive, a Epson é a melhor!",5
320,"A instalação com usb e wifi junto foi um pouco complicada, não tem muitas informações sobre a instalação wifi. Mas deu tudo certo (após consultar o suporte epson). Achei o material plástico um pouco frágil, não tão robusta quanto as antigas epson. Acesso aos cartucho é fácil, scanner muito bom.",4
321,"Impressora perfeita para meu uso. Prática por ser Wi-Fi (tive dificuldades de configurar, mas resolvi tudo na atendimento a clientes da Epson, muito bom tbm), ótima qualidade de impressão, tem um aspecto robusto e que aguenta o trabalho. Gostei muito. A entrega também foi super tranquila e rápida.",5
322,"PARA MINHA UTILIZAÇÃO FOI PERFEITA, COMO RESIDENCIAL E PARA MINHA MICRO EMPRESA.",5
323,Unica falha é falta de painel digital o que é substituido por botões coloridos.,4
324,Produto chegou em perfeita condição e funciona corretamente. Muito bom.,5
325,"Por enquanto estou gostando da qualidade de impressão, da opção de enviar por e-mail.",5
326,"Fácil instalar.
Vem com todos os cabos necessários e cartuchos de tinta.    
Não gostei da cor, poderia ser cinza ou outra cor mais clara.",5
327,"impressora muito boa.. imprimi bem no colorido.. WI-FI funciona muito bem, consigo imprimir pelo celular e tablet só tem que baixar o app Epson iprint. muito satisfeito... recebido no prazo combinado.",5
328,"O produto é bom , atende às necessidades domésticas.Entrega super rápida! Detalhe: eu estava viajando e, na cidade de Monte Carmelo/MG, me lembrei que precisava de uma multifuncional.Fui em outras lojas e não gostei do atendimento.Entrei no Magazine Luiza e fui atendido super rápido e com muita eficiência e cortesia pela atendente. Atendimento nota 100!",4
329,"Ponto positivo para design e tamanho. Achei o produto um pouco frágil, porém, e a instalação foi bem chatinha (deu erro várias vezes).",3
330,Só funciona se todos os cartuchos estiver com tinta.,1
331,"Produto espetácular...
Super cumpriu minhas espectativas..",5
332,"bom gostei da impressora por estar com ótimo preço e beneficio cartucho são de excelente qualidade.
custa muito barato para quem quer ter uma impressora e scaner de alta definição, para uso domestico eu indico.",5
333,O produto é excelente e muita qualidade. Entrega rápida.,5
334,Ótimo produto!  Super recomendo!  Entrega dentro do prazo !,5
335,"Dentro das expectativas, excelente impressão,  a impressão wifi funciona mto bem enviando tb de outros comodos da casa. Estou bem sarisfeita.",5
336,"Ótimo produto, estou muito satisfeita e qualidade da imagem é muito boa. Entrega perfeita dentro do prazo.",5
337,"Multifuncional rápida, silenciosa e de fácil utilização. Única ressalva é quanto aos cartuchos que precisam ter alguma tinta em todos para que ela possa imprimir.",4
338,"Gostei muito da impressora Epson XP-241, recomendo.",5
339,"Muito boa. Configura o acesso via wifi facilmente, impressão caseira muito boa, além de ser super compacta. Nada a reclamar.
Quanto a entrega, sem problemas. Totalmente dentro do prazo.",5
340,"A impressora é Boa, para quem imprime poucas vezes. Agora se você faz várias impressões ao dia sugiro outro modelo da marca, pois com essa o cartucho imprime no máximo 100 folhas.",4
341,"Love it!! Até agora, tudo perfeito!! Só um pouco trabalhoso para conectar Wi-Fi na impressora, mas consegui depois de paciência e tentativas",5
342,"Adorei,a impressora é ótima,recomendo estou satisfeita.",5
343,O produto atende às expectativas para um uso particular.,3
344,"Otimo produto, impressora facil de manucear, os cartuchos sao baratos ,é o preco dela cabo no orsamento.",5
345,O produto funciona conforme o prometido muito bom o produto,5
346,"Fácil configuração para o Wi-Fi pelo botão WPS e a qualidade de impressão muito boa. Tive problema com a 1a impressora que veio com defeito, mas foi solucionado ao solicitar a troca.",5
347,"Ideal para uso doméstico, com boa qualidade de impressão e com alguns recursos extras de uma multifuncional. O Wi-Fi é um adicional interessante, e traz a praticidade da impressão a partir de outros dispositivos como smartphone e tablet.",5
348,"Muito boa impressora. Atende o que propõe, tem uma resolução media boa.",5
349,Melhor custo de impressão neste tipo de impressora.,4
350,"Tem bom custo-benefício, boa qualidade de impressão, cartuchos mais baratos. É fácil o manuseio. Cabe em qualquer espaço.Maravilhoso para uso doméstico.",4
351,A impressora atende aos usos domésticos e é fácil de instalar.,5
352,Pessimo produto. Depois de uma semana com  defeito,1
353,"Supre minha necessidade, pois uso basicamente para imprimir trabalhos de faculdade e comprovante bancário, não é tão rápida na hora da impressão, mas também não é aquela tartaruga, somente a impressão colorida deixa um pouco a desejar, pois aprensentou uma qualidade abaixo do esperado, ja a digitalização é muito boa e simples de fazer seja do celular, tablet ou computador, mas eu recomendo para quem tem a mesma necessidade que eu",4
354,"Entrega rapida, produto em otimo estado. PARABENS MAGAZINE",5
355,"No geral, produto sem nada espetacular. Tive problemas para instalação Wi-Fi, mas prontamente o suporte ajudou.",3
356,"Até agora atendeu todas as minhas expectativas, funciona perfeitamente",4
357,A impressora imprime rápido e sua qualidade é extraordinária. Porém antes de imprimir faz ruído alto.,4
358,"muito bom produto, atende plenamente as necessidades de uma multifuncional para uso doméstico, excelente relação custo benefício.",4
359,"A multifuncional é rápida em todas as funções, de fácil instalação e de boa qualidade nas impressões. O único ponto negativo é o alto gasto dos cartuchos!",4
360,"Condiz com tudo que é dito na discrição do produto. Antes de comprar pesquisei bastante com as pessoas que já tinham multifuncional e as da Epson sempre se destacavam nas avaliações, comprei e realmente me surpreendi com essa multifuncional. Qualidade de impressão maravilhosa e rápida, já vem com cartuchos de tinta que não são só pra teste (e os preços dos cartuchos originais são realmente os mais em conta do mercado), compacta e resistente, wi-fi funciona perfeitamente (após configurar, pode imprimir sem fio de todos os computadores da casa e com o app da Epson vc imprime pelo celular tb). Comprei porque faço faculdade, preciso imprimir trabalhos e outras coisas. Pra quem, assim como eu, tem o intuito de imprimir poucas páginas diariamente ela é ideal.  Recomendo a compra.",5
361,Poderia ter tanque de tinta é um Dispenser para a tinta descartada,4
362,Muito boa mesmo ótima impressora design ótimo ok oo,3
363,"A impressora é compacta, rápida e atende as necessidades. Só não dou cinco estrelas pois a instalação é um pouco complicada, as instruções do manual são poucas e direcionam para links na internet  com 10 opções de download e você fica sem saber qual é a certa... acabei baixando várias coisas que não precisava, e precisei de mais de uma hora fuçando para conseguir fazer funcionar.",4
364,"Produto atendeu as expetativas, chegou no prazo certo",5
365,Nao tenho o q falar produto muito bom impressões bem feitas e não é barulhenta parabéns,5
366,"o produto é completo, estou muito satisfeito. Super recomendo.",5
367,Muito satisfeito recomendo preço e benefícios.otima qualidade,4
368,O produto é muito bom. A impressão pelo wi-fi é excelente. O custo-benefício é muito bom.,5
369,"bons recursos e custo-beneficio, porém, lenta na impressão",4
370,"Muito eficiente , gostei muito com os recursos que precisava só achei um pouco grande mais sem problema muito boa recomendo.",5
371,Bom o produto que eu adiquiri a pouco tempo estou gostando.,4
372,"Excelente produto. Entrega rápida. Excelente custo x benefício. 
Infelizmente o cartucho preto acaba rápido, porém é barato.",4
373,"O produto perfeito, embalagem impecável entrega super rápida",5
374,"produto bom, com base em seu custo beneficio e chegou rapido",4
375,Ótimo custo benefício. Muito pratica. Funciona muito bem com Wi Fi. Recomendo o produto,5
376,otima impressora e muito pratica e com otima qualidade de impresao,5
377,"Produto muito bom, por enquanto estou satisfeito pois uso pouco.",5
378,"Chego rapido, gostei muito otima compra, recomendo para todos que precisam de um epressora.",5
379,"A impressora é boa, qualidade da impressão é  nota 8,5. Atende bem a demanda de trabalhos escolares.",4
380,A impressora é ótima. Houve uma dificuldade em configurar.,4
381,Fácil instalação e configuração. Impressão direto do celular ou outros dispositivos conectados a rede privada.,5
382,"Design sóbrio, compacta, leve, impressões rápidas, cartuchos não tão caros, e  silenciosa. O Wi-Fi não é tão simples de se configurar, mas uma vez feita a configuração, funciona muito bem.",4
383,"Produto atendeu minha necessidade, fácil instalação e uso ; com cartuchos de baixo valor.",5
384,Muito bom está impressora. Recomendo a todos. Barata,5
385,"Melhor Custo/Benefício do mercado, só tive problemas na configuração do wi-fi, o manual explica pouco sobre essa questão",4
386,"Estou usando o produto e pouco tempo, mas tem em atendido muito bem. E o custo benefício é muito satisfatório.
E a compra em si foi ótima sendo entregue dentro do prazo combinado",5
387,"O produto é ótimo pelo preço que paguei, bom acabamento, botões analógicos que é mais barato em caso de reparo e faz tudo que propõe com qualidade. Obviamente existem impressoras melhores, mas na faixa de preço da XP--241 foi a melhor compra. Magazine Luiza on-line é top, melhor que a loja física. Recomendo.",5
388,"Até agora funciona bem, atende as minhas necessidades",5
389,O produto é de boa qualidade e de fácil utilização,5
390,O produto atende perfeitamente todas as minhas necessidades.,4
391,Essa impressora possui os recursos necessários para atendimento às necessidades domésticas.,5
392,Fácil instalação e utilização! Mto bom mesmo. E a marca é reconhecida,5
393,"Produto de ótima qualidade, fácil de utilizar, atende perfeitamente as necessidades.",5
394,"O magazine está de parabéns! Entrega super rápida, produto superou as minhas expectativas. 

Agora estou instalando o drive para poder utilizar (processo de instalação fácil, auto-explicativo), até o momento tudo certo. Acredito ter feito um ótimo investimento.

Produto ideal para residência.",5
395,Bom desempenho e a tinta não é muito cara. Impressão rápida de ótima qualidade.,4
396,"O produto é excelente,  o problema é que só se acha tinta ou cartucho nas capitais ou grandes centros, portanto vou ter que compra isso também por Internet.",4
397,COMPACTA PRATICA E ACESSIVEL. PELA PRATICIDADE SE TORNA UMA IMPRESSORA AMIGAVEL,5
398,"Fácil manuseio, fácil instalação. Pequena e discreta, ocupa pouco espaço. Dá pra imprimir direto do smartphone e do tablet.",5
399,"É um equipamento bonito e cabe em espaços pequenos. O uso em si é prático, porém, fica uma ressalva sobre a questão do WiFi, pois achei a instalação para usar este recurso um pouco complicada.",3
400,"Apesar da eficiência do produto, a tinta acaba rápido, onde pelo que eu li é normal do primeiro cartucho que vêm no próprio produto. Fora isso, a qualidade e a agilidade torna a Epson uma ótima escolha.",4
401,"O produto é perfeito para o meu uso, posso até usar em dois computadores, o que não eu esperava.",5
402,"Produto bom e fácil de instalar. Inicialmente não consegui conectar via wifi automaticamente, porém, usei a USB e conectou rapidinho.",4
403,So posso dizer que o produto é exatamente o que eu queria não tenho o que reclamar,5
404,"O produto chegou logo, bem antes do prazo. Impressao Wifi funciona bem e scanner também. Aprovado.",5
405,"qualidade maravilhosa, super valeu a pena, fácil instalação e opera muito bem no linux",5
406,"Boa de impressão e excelente custo benefício. Entretanto, é trabalhoso conectar a wifi e os dispositivos (computador/celular e impressora) precisam estar conectados na mesma rede. Além disso, a impressora não se auto instalala, precisando de CD.",4
407,"equipamento excelente, recursos fáceis de usar
para uso domestico",5
408,"Gostei do produto,  atende minhas necessidades para uso doméstico.",5
409,"SATISFEITO COM MINHA COMPRA.  PRODUTO, PREÇO, PRAZO DE ENTREGA",5
410,Impressora Epson muito boa gostei muito recomendo 100%,5
411,"Ótimo ao ser manuseado, simples instalação, xerox tanto colorido como preto e branco são perfeitos. A Multifuncional Epson Expression XP-241 - Jato de Tinta Colorida USB Wi-Fi está sendo minha primeira e maquina e simplesmente amei.",5
412,"Boa impressora, com ótima qualidade de impressão. Fácil de instalar, tanto no modo wifi como USB. Apenas demora em impressões coloridas.",5
413,"Estou muito satisfeito, produto de fácil instalação e cumpre o que promete. Também muito satisfeito quanto aos serviços do Magazine Luiza. Entrega super rápida, e o seguimento da entrega pelos e-mails te mantém informado passo a passo.",5
414,Boa impressora. A epson tem uma boa reputação. Recomendo esta impressora para quem imprime pouco dentro de casa.,4
415,"Fácil instalação, boa qualidade de impressão e otimos valores de cartuchos",4
416,"O produto é ótimo em custos e benefícios 
recomendo",5
417,"IMPRESSORA EXCELENTE, BOA QUALIDADE DE IMPRESSÃO , TRABALHA C/ POUCA TINTA, PROPORCIONANDO ECONOMIA.",5
418,"Realiza impressões rápidas, possui cartuchos de baixo custo, conectividade wifi com diversos produtos e até o dado momento atendeu a todas as minhas expectativas.",5
419,O produto atendeu as expectativas necessárias para o uso doméstico / escolar,4
420,Este produto atende todos requisitos de uma Boa impressora!,5
421,"Boa impressora só a instalação (Wi-Fi) que é bem complicada,ainda não troquei o cartucho (espero que seja fácil de achar), entrega rápida! Recomendo pelo custo benefício!",4
422,"Indico pois é excelente ,outro detalhe cartuchos original bem baratinho,show magazine está de parabéns comprei em 1 dia e retirei no outro excelente parabéns .",5
423,"Eu recomendo o produto! Muito boa e o wifi 
É otimo,amei!",5
424,"olha veio com problema , esta em
processo de troca   quanto liguei e istalei a impressora  não puxava o papel . reclamei e esta para troca  vamos ver depois",2
425,"A impressora tem boa qualidade, mas ainda assim é um pouco lenta na hora da impressão; também não consegue ser das mais silenciosas. Ainda não posso avaliar quanto ao consumo de tinta. Até o momento ela tem sido uma boa aquisição!",4
426,Atende perfeitamente às necessidades do uso doméstico.,5
427,Por enquanto sem problemas. Fácil de instalar e ótimo custo benefício. Indico para aqueles cuja demanda de impressão seja pequena. Os cartuchos individuais deve fazer a diferença. Ainda não precisei trocar.,4
428,"excelente custo benefício, bem rápida e fácil de instalar!!!",5
429,Otimo produto ! Facil instalacao e manuseio ! Recomendado !,5
430,Só não consegui configurar o wi-fi devia ser mais simples,4
431,"Produto muito bom,super facil de usar
So as tintas que acaba rapido,mas e muito boa recomendo.produto de alta qualidade",4
432,"Recomendo pois tive apoio para instalação do produto,  foi bem rápido e eficiente.
ate o momento tudo funcionado como esperado.",4
433,"Impressora muito boa, econômica. Chata para instalar",5
434,"O equipamento possobilita multiplas funcionalidades, como imprimir, scanear e tirar fotocópias",5
435,"qualidade da impressão é ótima, porem a autonomia do cartucho de tinta é baixo, pequeno, então não dá para imprimir muitas folhas com o mesmo cartucho.. vou ter que intalar bulk ink",3
436,"Entrega perfeita, antes do prazo. Produto muito bom.",5
437,EMBORA TENHA USADO SOMENTE UMA VEZ ESTOU SATISFEITO,4
438,"não consegui conectar com meu pc nem com dispositivos (tablet e celular) via wi fi.
Só funcionou com cabo.",3
439,não usei o produto ainda mas conheço a marca e sei que é uma máquina excelente,5
440,"Atendeu todas as minhas necessidades, ótimo custo beneficio.",5
441,"Impressora simples e eficiente, ótimo custo beneficio!",5
442,"Estou com ela a menos de um mês. Mas gostei muito da qualidade de impressão, do scanner e do design dela. Wi-fi funciona super bem. Por enquanto nada contra (uso doméstico).",5
443,"Atendeu minhas necessidades.
Juntamente com o aplicativo é sem duvida uma ferramenta de grande ajuda no dia a dia. Os recursos do produto são excelentes.",5
444,"gostei do produto fácil manuseio , impressora para residencia",4
445,"Produto muito bom! 
E site muito bom para compra! 
Estou muito satisfeita!",5
446,O produto possui recursos que atendo o que eu precisava.,4
447,A impressora possui ótima impressão. rendimeno bom. rapidez e design bonito,5
448,Multifuncional indicada para uso doméstico. Até o momento não tenho queixas.,4
449,"A impressora é muito boa,  a entrega foi rápida e segura, bem embalado, só que os cartuchos acabam muito rápido.  Mas é muito boa a impressora. Agradeço!",4
450,Achei bem fácil de comprar e o produto chegou rapidamente e íntegro.,4
451,Gostei do produto adquirido e está atendendo as minhas necessidades,4
452,"Compra, pagto, recebimento e produto, tudo nota 10.",5
453,"Impressora econômica, e bem fácil de manuseio!!! Amei",5
454,"O produto tem bons recursos e qualidade de impressão e também 
 imprimir direto pelo celular via WiFi. Foi uma boa compra",4
455,A tinta acaba muito rápido e a impressora é terrível para configurar. Mesmo depois de ler e reler o manual achei complicada. Pra quem quer algo excelente não recomendo essa.,4
456,"a impressora XP 241 da EPSON é muito boa , estou satisfeito com a escolha!",5
457,"Produdo bom , instalação facil, qualidade da impressão boa, custo/beneficio dos cartuchos bom",4
458,Produto atende as expectativas em trabalho na residência e dia a dia,5
459,"A instalação é fácil e rápida e vem com um cabo USB, o que é ótimo quando a gente tem um computador com problemas no WiFi!",4
460,"Muito boa impressora, fácil de instalar e manusear. Atendeu as minhas necessidades de casa. Também é bom que os cartuchos são separados, assim voce só troca a cor.",5
461,"Apesar de ainda não ter usado muito, eu estou gostando. Foi fácil de instalar e a impressão é rápida e de boa qualidade.",5
462,"O produto atende bem as necessidades do, principalmente trabalhos escolares e outras rotinas, por isso tem um bom custo beneficio.",4
463,é um produtos de ótima qualidade não tive nenhum problema com ele até este momento.funciona muito bem e é de fácil manuseio.,4
464,"Excelente produto, atendeu e muito minha necessidade. A entrega também foi super rápida!",5
465,Gostei bastante! É um bom produto mesmo! Custo beneficio muito bom.,4
466,"Ótimo produto com custo beneficio excelente, adorei essa Multifuncional EPSON.",5
